amount_tsh,date_recorded,funder,installer,basin,subvillage,region,lga,ward,population,public_meeting,recorded_by,scheme_management,permit,construction_year,extraction_type,payment,water_quality,quantity,source,source_class,waterpoint_type,waterpoint_type_group,days_since_recorded
0.0,2013-02-04,Other,Other,Internal,Magoma,Manyara,Mbulu,Bashay,321,True,GeoData Consultants Ltd,Parastatal,True,10s,other,never pay,soft,seasonal,rainwater harvesting,surface,other,other,302
0.0,2013-02-04,Government Of Tanzania,DWE,Pangani,Kimnyak,Arusha,Arusha Rural,Kimnyaki,300,True,GeoData Consultants Ltd,VWC,True,00s,gravity,never pay,soft,insufficient,spring,groundwater,communal standpipe,communal standpipe,302
0.0,2013-02-01,Other,Other,Internal,Msatu,Singida,Singida Rural,Puma,500,True,GeoData Consultants Ltd,VWC,Unknown,10s,other,never pay,soft,insufficient,rainwater harvesting,surface,other,other,305
0.0,2013-01-22,Other,Other,Ruvuma / Southern Coast,Kipindimbi,Lindi,Liwale,Mkutano,250,Unknown,GeoData Consultants Ltd,VWC,True,80s,other,unknown,soft,dry,shallow well,groundwater,other,other,315
500.0,2013-03-27,Other,Other,Ruvuma / Southern Coast,Losonga,Ruvuma,Mbinga,Mbinga Urban,60,Unknown,GeoData Consultants Ltd,Water Board,True,00s,gravity,pay monthly,soft,enough,spring,groundwater,communal standpipe,communal standpipe,251
0.0,2013-03-04,Government Of Tanzania,DWE,Pangani,Masaga,Arusha,Arusha Rural,Ilkiding'a,200,True,GeoData Consultants Ltd,VWC,True,90s,gravity,never pay,soft,enough,spring,groundwater,communal standpipe,communal standpipe,274
0.0,2011-03-02,Government Of Tanzania,Other,Rufiji,Kichangani,Iringa,Kilolo,Mahenge,600,True,GeoData Consultants Ltd,VWC,True,00s,india mark ii,never pay,salty,enough,machine dbh,groundwater,hand pump,hand pump,1007
0.0,2013-01-25,Other,Other,Ruvuma / Southern Coast,Ilala,Mtwara,Tandahimba,Maundo,1,True,GeoData Consultants Ltd,Water Board,True,80s,submersible,never pay,soft,dry,machine dbh,groundwater,communal standpipe multiple,communal standpipe,312
30.0,2013-01-23,Other,Other,Ruvuma / Southern Coast,Bondeni,Mtwara,Newala,Mnekachi,40,True,GeoData Consultants Ltd,VWC,False,90s,gravity,pay per bucket,soft,insufficient,spring,groundwater,communal standpipe,communal standpipe,314
0.0,2013-03-18,Other,Other,Pangani,Donyomuruak,Kilimanjaro,Siha,Siha Kati,1,True,GeoData Consultants Ltd,Water Board,True,00s,gravity,pay monthly,soft,enough,spring,groundwater,communal standpipe,communal standpipe,260
5.0,2013-10-03,Other,Other,Pangani,Saa,Kilimanjaro,Hai,Machame Kaskazini,75,True,GeoData Consultants Ltd,Water Board,True,00s,gravity,pay per bucket,soft,enough,spring,groundwater,communal standpipe,communal standpipe,61
0.0,2013-02-27,World Vision,Other,Pangani,Remit,Manyara,Simanjiro,Ruvu Remit,500,True,GeoData Consultants Ltd,Other,True,00s,other,never pay,soft,dry,rainwater harvesting,surface,other,other,279
0.0,2012-10-11,World Bank,Other,Internal,Chonja,Tabora,Igunga,Itunduru,0,True,GeoData Consultants Ltd,Other,True,Unknown,mono,unknown,soft,dry,machine dbh,groundwater,communal standpipe multiple,communal standpipe,418
0.0,2011-07-29,Other,DWE,Lake Victoria,Ilobashi,Mwanza,Kwimba,Bupamwa,0,True,GeoData Consultants Ltd,VWC,True,Unknown,mono,pay per bucket,soft,enough,machine dbh,groundwater,communal standpipe multiple,communal standpipe,858
1000.0,2011-03-02,Danida,Other,Rufiji,Winome,Iringa,Iringa Rural,Mseke,1,True,GeoData Consultants Ltd,VWC,True,80s,gravity,pay monthly,soft,enough,spring,groundwater,communal standpipe,communal standpipe,1007
1200.0,2013-06-03,Danida,DWE,Ruvuma / Southern Coast,Mkulu,Ruvuma,Songea Rural,Ndogosi,0,True,GeoData Consultants Ltd,VWC,True,80s,gravity,pay annually,soft,enough,river,surface,communal standpipe multiple,communal standpipe,183
0.0,2011-02-24,Other,Other,Rufiji,Barabarani,Pwani,Mafia,Kanga,900,True,GeoData Consultants Ltd,VWC,False,Unknown,nira/tanira,never pay,soft,enough,shallow well,groundwater,hand pump,hand pump,1013
200.0,2011-03-11,Government Of Tanzania,DWE,Pangani,Magagai 2,Tanga,Lushoto,Rangwi,1,True,GeoData Consultants Ltd,VWC,True,70s,gravity,pay monthly,soft,enough,spring,groundwater,communal standpipe,communal standpipe,998
0.0,2012-10-06,Other,DWE,Lake Tanganyika,Bumbaaga A,Shinyanga,Bukombe,Runzewe,0,True,GeoData Consultants Ltd,Parastatal,True,Unknown,gravity,unknown,soft,seasonal,rainwater harvesting,surface,communal standpipe,communal standpipe,423
